app,platforms,voice_capture,ai_interpretation,generated_images,privacy_or_export_signal,lucid_dreaming,best_for,caveat,source_url,last_reviewed
"Noctalia","Android / web resources","Strong","Yes","Yes","EU-hosted journal; deletion controls","Basic tools","Fast voice capture, visual interpretation and Android journaling","Not available on iOS; limited advanced lucid training","https://play.google.com/store/apps/details?id=com.tanuki75.noctalia","2026-07-12"
"DreamApp","Android / iOS","Limited in public listing","Yes","Some visual or movie claims","Google Play data-safety disclosures","Some lucid or tracker mentions","Mainstream dream meanings and therapist-guided positioning","Less suited to users seeking voice-first Android capture with provider disclosures","https://play.google.com/store/apps/details?id=com.dreamapp.app&hl=en_US","2026-07-12"
"Oniri","iOS / Android beta","Yes","Yes","Yes","Advertised export and privacy features","Strong","Lucid dreaming practice and advanced technique toolkit","Less suited to users mainly seeking quick Android voice capture and a narrower reflection workflow","https://www.oniri.io/","2026-07-12"
"Dreamiary","Android / iOS","Yes","Yes","No strong visual-first signal","Privacy and local-first positioning","Yes","Privacy-minded journaling with mood and symbol tracking","No strong generated-image or guided-reflection signal","https://www.dreamiary.com/","2026-07-12"
"Dreamlab","iOS / Android messaging varies by page","Text and voice positioning","Yes","Yes","Private secure journal positioning","Limited","Emotion, mood and pattern-focused AI journal","Public Android availability and traction require verification","https://getdreamlab.com/","2026-07-12"
"DreamKit","Android / iOS","Text-first public copy","Yes","Yes","PDF export; biometric lock; cloud backup","Reality checks","Mature lightweight dream journal with AI art","Current store availability, AI reliability and public privacy details require verification","https://dreamkit.app/","2026-07-12"
"Rosebud","Web / apps","Text-first","Yes","No dream-specific visual emphasis","General AI-journaling privacy model","No","Broader journaling and self-reflection beyond dreams","Not a dedicated dream-first Android product","https://www.rosebud.app/journals/dream","2026-07-12"
"Dreamz Journal","iOS; Android announced","Yes","Yes","Editorial grimoire style","Private grimoire; export and delete claims","Some ritual or reflection framing","Mystical editorial dream readings and symbols","Less suited to a sober psychological tone or Android users today","https://dreamz-journal.com/","2026-07-12"
"DreamMirror","Android direct distribution","Yes","Reflective AI stance","No","Strong privacy and anti-hype positioning","No","Calm private reflection with minimal hype","Not distributed through Google Play; fewer images and dictionary features","https://www.dreammirror.app/features","2026-07-12"
"DreamStream","Early access","Yes","Yes","Strong visual storytelling","Sensitive visual and digital-twin model to assess","No","Cinematic dream visualization and storyboards","Less suited to users seeking a calmer private journal","https://dreamstream.art/","2026-07-12"
"DreamNotes","iOS","Text or chat-first","Yes","No strong visual-first signal","On-device and privacy messaging on official site","No","Fast AI dream analysis and iOS journaling","Not available for Android users","https://dreamnotes.app/","2026-07-12"
